category_id,category
1101000000,食品
1102000000,烟酒及用品
1103000000,衣着
1104000000,家庭设备用品及维修服务
1105000000,医疗保健和个人用品
1106000000,交通和通信
1107000000,娱乐教育文化用品及服务
1108000000,居住
1101010000,粮食
1101020000,淀粉
1101030000,干豆类及豆制品
1101040000,油脂
1101050000,肉禽及其制品
1101060000,蛋
1101070000,水产品
1101080000,菜
1101090000,调味品
1101100000,糖
1101110000,茶及饮料
1101120000,干鲜瓜果
1101130000,糕点饼干面包
1101140000,液体乳及乳制品
1101150000,在外用膳食品
1102010000,烟草
1102020000,酒
1102030000,吸烟、饮酒用品
1103010000,服    装
1103020000,衣着材料
1103030000,鞋袜帽
1103040000,衣着加工服务
1104010000,耐用消费品
1104020000,室内装饰品
1104030000,床上用品
1104040000,家庭日用杂品
1104050000,家庭服务及加工维修服务
1105010000,医疗保健
1105020000,个人用品及服务
1106010000,交通
1106020000,通信
1107010000,文娱用耐用消费品及服务
1107020000,教育
1107030000,文化娱乐
1107040000,旅游
1108010000,建房及装修材料
1108020000,租房
1108030000,自有住房
1108040000,水、电、燃料
1101010001,大米
1101010002,面粉
1101010003,粮食制品
1101020001,淀    粉
1101030001,干    豆
1101030002,豆 制 品
1101040001,食用植物油
1101040002,植物油制品
1101050101,猪    肉
1101050102,牛    肉
1101050103,羊    肉
1101050104,畜肉副产品
1101050201,鸡
1101050202,鸭
1101050301,畜肉制品
1101050302,禽制品
1101060001,鲜蛋
1101060002,蛋 制 品
1101070101,淡水鱼
1101070102,海水鱼
1101070201,虾 蟹 类
1101080001,鲜菜 
1101080002,干菜及菜制品
1101080003,薯类
1101090001,盐
1101090002,酱油
1101090003,醋
1101090004,味精
1101100001,食糖
1101100002,糖果
1101100003,巧克力制品
1101100004,糖类小食品
1101110101,茶叶
1101110200,固体饮料
1101110202,液体饮料
1101110203,冷冻饮品
1101120001,鲜瓜果
1101120002,干果
1101130001,糕点
1101130002,饼干
1101130003,面包
1101140001,巴氏杀菌奶或消毒奶
1101140002,酸奶
1101140003,奶粉
1101150001,主食
1101150002,炒    菜
1101150003,地方小吃
1102010001,国产卷烟
1102010002,进口卷烟
1102020001,白酒
1102020002,葡萄酒
1102020003,啤酒
1102030001,吸烟用品
1102030002,饮酒用品
1103010101,男式大衣
1103010102,男式毛线衣
1103010103,男式夹克衫
1103010104,男式衬衫
1103010105,男式T恤衫
1103010106,男式裤子
1103010107,男式西服
1103010108,男式运动衫裤
1103010109,男式内衣
1103010110,男式羽绒衣
1103010201,女式大衣
1103010202,女式毛线衣
1103010203,女式羽绒衣
1103010204,女式套装
1103010205,女式衬衫
1103010206,女式T恤衫
1103010207,女式裙子
1103010208,女式裤子
1103010209,女式运动衫裤
1103010210,女式内衣
1103010301,儿童套装
1103010302,儿童裤子
1103010303,儿童裙子
1103020001,棉布
1103020002,棉混纺布
1103020003,化纤布
1103020004,毛线
1103030101,男鞋
1103030102,女鞋
1103030103,童鞋
1103030201,男袜
1103030202,女袜
1103030301,男帽
1103030302,女帽
1103040001,缝纫
1103040002,清洗
1104010101,柜
1104010102,床
1104010103,桌
1104010104,椅
1104010105,沙发
1104010201,洗衣机
